post_title,post_name,post_parent,post_sub_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,_sku,parent_sku,parent,_children,_downloadable,_virtual,_stock,_regular_price,_sale_price,_weight,_length,_width,_height,_tax_class,_visibility,_stock_status,_backorders,_manage_stock,_tax_status,_upsell_ids,_crosssell_ids,_featured,_sale_price_dates_from,_sale_price_dates_to,_download_limit,_download_expiry,_product_url,_button_text,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_metakeywords,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:mfn-page-local-style,meta:mfn-post-hide-content,meta:mfn-post-love,meta:mfn-post-slider,meta:mfn_single_product_template,meta:redq_adults_heading_title,meta:redq_adults_placeholder,meta:redq_allowed_times,meta:redq_book_now_button_text,meta:redq_calendar_date_format,meta:redq_calendar_time_format,meta:redq_childs_heading_title,meta:redq_childs_placeholder,meta:redq_choose_european_date_format,meta:redq_dropoff_date_heading_title,meta:redq_dropoff_date_placeholder,meta:redq_dropoff_location_heading_title,meta:redq_dropoff_time_placeholder,meta:redq_email_placeholder,meta:redq_email_title,meta:redq_first_name_placeholder,meta:redq_first_name_title,meta:redq_flip_pricing_plan_text,meta:redq_last_name_placeholder,meta:redq_last_name_title,meta:redq_max_rental_days,meta:redq_max_time_late,meta:redq_message_placeholder,meta:redq_message_title,meta:redq_min_rental_days,meta:redq_password_placeholder,meta:redq_password_title,meta:redq_phone_placeholder,meta:redq_phone_title,meta:redq_pickup_date_heading_title,meta:redq_pickup_date_placeholder,meta:redq_pickup_loc_placeholder,meta:redq_pickup_location_heading_title,meta:redq_pickup_time_placeholder,meta:redq_price_discount_cost,meta:redq_rental_before_booking_block_dates,meta:redq_rental_fri_max_time,meta:redq_rental_fri_min_time,meta:redq_rental_local_enable_single_day_time_based_booking,meta:redq_rental_local_quantity_on_days,meta:redq_rental_local_required_person,meta:redq_rental_local_required_pickup_location,meta:redq_rental_local_required_return_location,meta:redq_rental_local_show_book_now,meta:redq_rental_local_show_dropoff_date,meta:redq_rental_local_show_dropoff_time,meta:redq_rental_local_show_pickup_date,meta:redq_rental_local_show_pickup_time,meta:redq_rental_local_show_price_discount_on_days,meta:redq_rental_local_show_price_instance_payment,meta:redq_rental_local_show_pricing_flip_box,meta:redq_rental_local_show_request_quote,meta:redq_rental_mon_max_time,meta:redq_rental_mon_min_time,meta:redq_rental_off_days,meta:redq_rental_post_booking_block_dates,meta:redq_rental_required_local_pickup_time,meta:redq_rental_required_local_return_time,meta:redq_rental_sat_max_time,meta:redq_rental_sat_min_time,meta:redq_rental_starting_block_dates,meta:redq_rental_sun_max_time,meta:redq_rental_sun_min_time,meta:redq_rental_thu_max_time,meta:redq_rental_thu_min_time,meta:redq_rental_thur_max_time,meta:redq_rental_thur_min_time,meta:redq_rental_wed_max_time,meta:redq_rental_wed_min_time,meta:redq_resources_heading_title,meta:redq_return_loc_placeholder,meta:redq_rfq_button_text,meta:redq_rnb_cat_heading,meta:redq_security_deposite_heading_title,meta:redq_submit_button_text,meta:redq_time_interval,meta:redq_username_placeholder,meta:redq_username_title,meta:rnb_booking_layout,meta:rnb_enable_quantity,meta:rnb_include_trailing_date,meta:rnb_invalid_date_range_notice,meta:rnb_inventory_title,meta:rnb_max_day_notice,meta:rnb_min_day_notice,meta:rnb_pay_extra_hours,meta:rnb_quantity_label,meta:rnb_quantity_notice,meta:rnb_settings_for_conditions,meta:rnb_settings_for_display,meta:rnb_settings_for_labels,meta:rnb_settings_for_validations,meta:rnb_show_price_type,meta:rnb_unit_price,meta:rs_page_bg_color,meta:total_sales,attribute:Gradeability,attribute_data:Gradeability,attribute_default:Gradeability,attribute:Horizontal Outreach,attribute_data:Horizontal Outreach,attribute_default:Horizontal Outreach,attribute:Lift Capacity,attribute_data:Lift Capacity,attribute_default:Lift Capacity,attribute:Manufacturer,attribute_data:Manufacturer,attribute_default:Manufacturer,attribute:Platform Height,attribute_data:Platform Height,attribute_default:Platform Height,attribute:Platform Size,attribute_data:Platform Size,attribute_default:Platform Size,attribute:Power,attribute_data:Power,attribute_default:Power,attribute:Up & Over Height,attribute_data:Up & Over Height,attribute_default:Up & Over Height,attribute:Weight,attribute_data:Weight,attribute_default:Weight,attribute:Width,attribute_data:Width,attribute_default:Width,attribute:pa_drive-type,attribute_data:pa_drive-type,attribute_default:pa_drive-type,attribute:pa_fuel-type,attribute_data:pa_fuel-type,attribute_default:pa_fuel-type,URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super Vacuum Assisted Pump, 12 in.","Super Vacuum Assisted Pump, 12 in.","Pumps, Tanks & Filtration",Pumps,520-4008,,"These diesel engine-driven centrifugal pumps come equipped with a vacuum-assisted priming system. They are skid mounted for added stability and higher suction lift. Additionally, these pumps have the following features: a run-dry mechanical seal, auto-start control, fuel level monitoring, engine load, run time, oil and coolant temperature, and telemetry system. Run-dry mechanical seal
Auto-start control
Features monitoring of fuel level, engine load, run time, and oil and coolant temperature
Telemetry system
Uses: Ideal for pumping muddy water, greywater, sludge, or sewage, or for general solids-laden dewatering in construction, industrial and municipal jobsites
Please contact a OTTO Plants representative today for information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/520/520-4008_0.jpg?h=4626e670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/super-vacuum-assisted-pump-12,520-4008,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 4 in., Sound Attenuated, Diesel Powered","Vacuum Assisted Pump, 4 in., Sound Attenuated, Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-1005,,"Remove muddy water, sludge, and greywater or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system and noise rating up to 70 dBa at 30'. It can handle up to 3"" solids and has a maximum flow of up to 1,520 gallons per minute (GPM). It is trailer-mounted for easy transportation and easy to operate, with a run-dry mechanical seal, auto-start control, and easy monitoring of fuel level, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction: 4"" (10.2 cm), discharge size: 4"" (10.2 cm)
Maximum flow: 1,520 gallons per minute (5.8 M3M)
Maximum total dynamic head: 146' (44.5 m)
Maximum solids handling: 3"" (7.6 cm)
Uses: Ideal for pumping muddy water, grey water, sludge or sewage, or general solids-laden dewatering in construction, industrial and municipal jobsites where sound silencing is needed
Contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/Single_Axle_dba_Diesel%20PDP.jpeg?h=b6289c82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-4-sound-attenuated-diesel-powered,520-1005,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 6 in., Sound Attenuated, Diesel Powered","Vacuum Assisted Pump, 6 in., Sound Attenuated, Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-2005,,"Remove muddy water, sludge, and greywater or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system and noise rating up to 70 dBa at 30&#39;. It can handle up to 3&quot; solids and has a maximum flow of up to 2,700 gallons per minute (GPM). It is trailer-mounted for easy transportation and easy to operate, with a run-dry mechanical seal, auto-start control, and easy monitoring of fuel level, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction and discharge size: 6"" (15.2 cm)
Maximum flow: 2,700 gallons per minute (10.2 M3M)
Maximum total dynamic head: 163' (49.7 m)
Maximum solids handling: 3"" (7.6 cm)
Uses: Ideal for pumping muddy water, greywater, sludge or sewage, or general solids-laden dewatering on construction, industrial and municipal jobsites where sound silencing is needed
Please contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/Single_Axle_dba_Diesel%20PDP_0.jpeg?h=b6289c82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-6-sound-attenuated-diesel-powered,520-2005,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super Vacuum Assisted Pump, 8 in., Sound Attenuated, Diesel Powered","Super Vacuum Assisted Pump, 8 in., Sound Attenuated, Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-3009,,"Remove muddy water, sludge and greywater, or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system, with a maximum flow of up to 3,880 gallons per minute (GPM). It is trailer-mounted for easy transportation and is easy to operate. These pumps have a run-dry mechanical seal; auto-start control; and easy fuel level monitoring, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction and discharge size: 8"" (20.3 cm)
Maximum flow: 3,880 gallons per minute
Maximum total dynamic head: 180' (54.9 m)
Maximum solids handling: 3"" (7.6 cm)
Uses: Ideal for pumping muddy water, greywater, sludge, or sewage, or for general solids-laden dewatering in construction, industrial and municipal jobsites where sound silencing is needed
Please contact a OTTO Plants representative today for information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/sound-attenuated-trash-pump_1%20PDP.jpeg?h=363d9f74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/super-vacuum-assisted-pump-8-sound-attenuated-diesel-powered,520-3009,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 12 in. by 8 in., Diesel Powered","Vacuum Assisted Pump, 12 in. by 8 in., Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-6005,,"Remove muddy water, sludge and greywater or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system and noise rating up to 70 dBa. It can handle up to 4"" solids and has a maximum flow of 12,410 gallons per minute (GPM). This skid-mounted pump is stable and easy to transport and operate, with a run-dry mechanical seal, auto-start control, and easy monitoring of fuel level, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction: 12"" (30.48 cm), discharge size: 8"" (20.32 cm)
Minimum flow: 1,530 gallons per minute, maximum flow: 12,410 gallons per minute
Minimum shut-off head: 62' (27 psi), maximum shut-off head: 177' (76 psi)
Maximum solids handling: 4"" (10.16 cm), noise rating: 70 dBa at 30'
Uses: Ideal for pumping muddy water, greywater, sludge or sewage, or general solids-laden dewatering on construction, industrial and municipal jobsites
Please contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-12/18-inch-dBa-silencer-520-6005.jpg?h=beb3b3da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-12-8-diesel-powered,520-6005,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 4 in. by 3 in., Diesel Powered","Vacuum Assisted Pump, 4 in. by 3 in., Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-8208,,"Remove muddy water, sludge and greywater, or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system, with a maximum flow of up to 710 gallons per minute (GPM). It is trailer-mounted for easy transportation and is easy to operate. These pumps have a run-dry mechanical seal; auto-start control; and easy fuel level monitoring, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction size: 4"" (10.2 cm), discharge size: 3"" (7.6 cm)
Maximum flow: 610 gallons per minute (2.7 M3M)
Maximum total dynamic head: 750' (288.6 m)
Maximum solids handling: 0.78"" (2 cm)
Uses: Ideal for pumping muddy water, greywater, sludge, or sewage, or for general solids-laden dewatering in construction, industrial and municipal jobsites where sound silencing is needed
Please contact a OTTO Plants representative today for information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2022-01/520-8508%20Super%206x4%204622MXRP%20PDP_0.jpeg?h=def3cf70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-4-3-diesel-powered,520-8208,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super Vacuum Assisted Pump, 8 in. by 6 in., Diesel Powered","Super Vacuum Assisted Pump, 8 in. by 6 in., Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-8608,,"Remove muddy water, sludge and greywater, or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system, with a maximum flow of up to 3,745 gallons per minute (GPM). It is trailer-mounted for easy transportation and is easy to operate. These pumps have a run-dry mechanical seal; auto-start control; and easy fuel level monitoring, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction: 8"" (20.3 cm), discharge size: 6"" (15.2 cm)
Maximum flow: 3,745 gallons per minute (14.2 M3M)
Maximum total dynamic head: 600' (182.9 m)
Maximum solids handling: 1.5"" (3.8 cm)
Uses: Ideal for pumping muddy water, greywater, sludge, or sewage, or for general solids-laden dewatering in construction, industrial and municipal jobsites where sound silencing is needed
Please contact a OTTO Plants representative today for information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-07/520-8703%2010x8%208NHTA%20QSL9%20copy.jpg?h=c4e54fe5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/super-vacuum-assisted-pump-8-6-diesel-powered,520-8608,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 6 in. by 3 in.","Vacuum Assisted Pump, 6 in. by 3 in.","Pumps, Tanks & Filtration",Pumps,520-8403,,"Remove water or clean liquids with this pump. Durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. This pump is excellent for pumping water and liquids that do not contain solids in industrial, construction and upstream oil and gas jobsites. Suction and discharge size: 6 in. by 3 in. (15.2 cm by 7.6 cm)
Maximum flow: 1,200 gallons per minute (4.5 M3M)
Solids Handling in (cm): 0.75 (1.9)
Maximum solids handling: 0.75' (1.9 cm)
Uses: Ideal for pumping water and liquids that contain minimal solids in industrial, construction and upstream oil and gas jobsites
Please contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/Open%20Trailer%20Pump%20-%20%20High%20pressure%20pump%20PDP.png?h=cb2e5c5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-6-3,520-8403,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 6 in. by 4 in., Diesel Powered","Vacuum Assisted Pump, 6 in. by 4 in., Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-8503,,"Remove muddy water, sludge, and greywater or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system, with a maximum flow of up to 2,550 gallons per minute (GPM). It is trailer-mounted for easy transportation and easy to operate, with a run-dry mechanical seal, auto-start control, and easy monitoring of fuel level, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction: 6"" (15.2 cm), discharge size: 4"" (10.2 cm)
Maximum flow: 2,550 gallons per minute (9.7 M3M)
Maximum total dynamic head: 408' (124.4 m)
Maximum solids handling: 3"" (7.6 cm)
Uses: Ideal for pumping muddy water, greywater, sludge or sewage, or general solids-laden dewatering in construction, industrial and municipal jobsites
Please contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/520-8508%20Super%206x4%204622MXRP%20PDP.jpeg?h=def3cf70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-6-4-diesel-powered,520-8503,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 10 in. by 8 in., Diesel Powered","Vacuum Assisted Pump, 10 in. by 8 in., Diesel Powered","Pumps, Tanks & Filtration",Pumps,520-8703,,"Remove muddy water, sludge, and greywater or transfer solid-laden liquids with this diesel-powered centrifugal pump. This pump is equipped with a vacuum-assisted priming system, with a maximum flow of up to 7,180 gallons per minute (GPM). This trailer-mounted pump is easy to transport and operate, with a run-dry mechanical seal, auto-start control, and easy monitoring of fuel level, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction size: 10"" (25.4 cm), discharge size: 8"" (20.3 cm)
Maximum flow: 7,180 gallons per minute (27.2 M3M)
Max total dynamic head: 380' (115.8 m)
Maximum solids handling: 3.5"" (8.9 cm)
Uses: Ideal for pumping muddy water, greywater, sludge or sewage, or general solids-laden dewatering on construction, industrial and municipal jobsites
Please contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/520-8703%2010x8%208NHTA%20QSL9%20PDP.jpeg?h=def3cf70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-10-8-diesel-powered,520-8703,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacuum Assisted Pump, 12 in. by 8 in.","Vacuum Assisted Pump, 12 in. by 8 in.","Pumps, Tanks & Filtration",Pumps,520-8903,,"Remove muddy water, sludge, and greywater or transfer solid-laden liquids with this centrifugal pump. This pump is equipped with a vacuum-assisted priming system, with a maximum flow of up to 8,450 gallons per minute (GPM). This trailer-mounted pump is easy to transport and operate, with a run-dry mechanical seal, auto-start control, and easy monitoring of fuel level, engine load, run time, and coolant temperature. The durable construction and highly efficient pumps provide longer life and economical operation, resulting in lower fuel costs. Suction and discharge size: 12 in. by 8 in. (30.5 cm by 20.3 cm)
Maximum flow: 8,450 gallons per minute (32 M3M)
Solids handling: 3"" (7.6 cm)
Uses: Ideal for pumping muddy water, greywater, sludge or sewage, or general solids-laden dewatering on construction, industrial and municipal jobsites
Please contact OTTO Plants for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-11/520-8903%2012x8%208NHTH%20PDP.jpeg?h=def3cf70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/pumps-tanks-filtration/pumps/vacuum-assisted-pump-12-8,520-8903,"Pumps, Tanks & Filtration",Pumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
